BHF,DART_MeanMAE,SF-Kriging_MeanMAE,Co-Kriging_MeanMAE,HierarchicalKriging_MeanMAE,DART_logMeanMAE,SF-Kriging_logMeanMAE,Co-Kriging_logMeanMAE,HierarchicalKriging_logMeanMAE
109,6.160301046,16.61873601,11.78665944,12.27345562,0.789601936,1.220597989,1.071390735,1.088966857
110,6.115135761,16.52800814,11.80029573,12.27899911,0.786406103,1.218220518,1.071892891,1.089162968
111,6.115135761,16.40707871,11.77171565,12.25572546,0.786406103,1.215031262,1.070839763,1.088339024
112,6.081817343,16.31405347,11.77491726,12.24949743,0.784033373,1.212561881,1.070957864,1.088118271
113,6.081817343,16.26129252,11.78250358,12.24435527,0.784033373,1.211155062,1.07123758,1.087935922
114,6.029542998,16.10634958,11.79451637,12.25521544,0.780284397,1.206997121,1.071680137,1.08832095
115,6.029542998,16.11090986,11.78869285,12.24091272,0.780284397,1.207120068,1.071465652,1.087813801
116,5.989992392,16.05276513,11.78853697,12.23878381,0.777426271,1.205549852,1.07145991,1.087738263
117,5.989992392,15.91157999,11.74895896,12.20331424,0.777426271,1.201713306,1.069999387,1.086477795
118,5.941915129,15.8208047,11.76122967,12.21810202,0.773926444,1.199228569,1.070452731,1.087003747
119,5.941915129,15.70738227,11.76019049,12.22415933,0.773926444,1.196103813,1.070414356,1.087219002
120,5.914036789,15.62010217,11.74670265,12.20473353,0.771884022,1.19368387,1.069915975,1.086528302
121,5.914036789,15.56829158,11.75762719,12.21308691,0.771884022,1.192240957,1.070319686,1.086825447
122,5.892015546,15.49681688,11.75905754,12.21003508,0.770263884,1.190242501,1.070372516,1.086716912
123,5.892015546,15.42486831,11.74225394,12.19407917,0.770263884,1.188221465,1.069751468,1.08614901
124,5.842112697,15.32743013,11.73036329,12.18680377,0.76656993,1.185469345,1.069311462,1.085889818
125,5.842112697,15.29995898,11.72037706,12.17837115,0.76656993,1.184690266,1.068941584,1.085589206
126,5.805763253,15.23450854,11.71318199,12.17443419,0.763859322,1.182828449,1.068674891,1.085448786
127,5.805763253,15.17095677,11.70790497,12.16406412,0.763859322,1.181012971,1.068479189,1.085078701
128,5.780609197,15.0751587,11.71343213,12.16437965,0.761973609,1.178261893,1.068684165,1.085089966
129,5.780609197,15.05831996,11.70879939,12.15772888,0.761973609,1.177776521,1.068512365,1.084852454
130,5.756358041,14.97954934,11.70147466,12.14983679,0.760147799,1.175498748,1.068240596,1.084570444
131,5.756358041,14.93366913,11.71224468,12.1639052,0.760147799,1.174166525,1.068640137,1.085073027
132,5.731964831,14.90127981,11.73553832,12.18620639,0.758303517,1.17322357,1.069503016,1.085868529
133,5.731964831,14.78706127,11.7405128,12.19331824,0.758303517,1.169881872,1.069687067,1.086121909
134,5.708801762,14.7372916,11.73383072,12.18895458,0.756544962,1.168417677,1.069439819,1.085966459
135,5.708801762,14.65131148,11.72127246,12.18409447,0.756544962,1.165876501,1.068974761,1.085793258
136,5.658582031,14.58596291,11.73697584,12.19751101,0.752707616,1.163935105,1.06955621,1.086271219
137,5.658582031,14.50422491,11.71135684,12.17836265,0.752707616,1.161494525,1.068607214,1.085588903
138,5.6475418,14.46499153,11.73413894,12.19791467,0.751859454,1.160318184,1.069451226,1.086285591
139,5.6475418,14.3957582,11.74878023,12.21406919,0.751859454,1.158234543,1.06999278,1.086860376
140,5.617517882,14.3038655,11.73672357,12.20324186,0.749544464,1.155453418,1.069546876,1.086475219
141,5.617517882,14.23109718,11.75257927,12.22102814,0.749544464,1.153238384,1.070133189,1.087107744
142,5.596289806,14.21916442,11.75569613,12.22270691,0.747900196,1.152874076,1.070248352,1.087167398
143,5.596289806,14.17445214,11.76161108,12.22959324,0.747900196,1.151506282,1.070466815,1.087412012
144,5.594924619,14.09910458,11.75015525,12.22105722,0.74779424,1.149191532,1.070043605,1.087108778
